"trial","ref_position","var_area","response","correct","rt"
1,"R",9.07254430092871,"R",FALSE,6.04200005531311
2,"L",9.99462220841087,"L",FALSE,1.89800000190735
3,"R",11.4981677657925,"R",FALSE,1.61100006103516
4,"L",9.55202297517098,"L",FALSE,2.20499992370605
5,"R",14.6064004765358,"L",TRUE,2.50200009346008
6,"L",9.12671170593239,"R",TRUE,2.00699996948242
7,"R",10.9734517075121,"L",TRUE,2.20000004768372
8,"R",10.9457814176567,"L",TRUE,2.40899991989136
9,"R",13.5549727613106,"L",TRUE,2.10199999809265
10,"R",8.86859457637183,"L",FALSE,3.00800013542175
11,"R",14.4053830001503,"L",TRUE,1.50200009346008
12,"L",8.13716631173156,"L",TRUE,2.31699991226196
13,"R",12.1649530415889,"L",TRUE,1.89299988746643
14,"R",14.9264017182868,"L",TRUE,1.39199995994568
15,"R",9.47590578417294,"R",FALSE,4.10999989509583
16,"R",14.7936821940821,"L",TRUE,1.29699993133545
17,"L",12.0858654680196,"R",TRUE,1.40200018882751
18,"L",14.8262176627759,"R",TRUE,1.2960000038147
19,"L",12.8010814071167,"R",TRUE,1.59800004959106
20,"R",9.37114174943417,"L",TRUE,3.80599999427795
21,"R",13.2771324657369,"L",TRUE,1.39999985694885
22,"L",12.158243388636,"R",TRUE,0.894999980926514
