"trial","ref_position","var_area","response","correct","rt"
1,"R",10.0121335498989,"L",TRUE,2.30100011825562
2,"R",10.936553663807,"L",TRUE,1.70600008964539
3,"R",10.5725155724213,"L",TRUE,1.19400000572205
4,"L",11.6499490626156,"R",TRUE,1.20099997520447
5,"R",9.4485744794365,"L",TRUE,2.42499995231628
6,"L",14.7346248191316,"R",TRUE,1.2979998588562
7,"L",8.2241326009389,"L",TRUE,2.21300005912781
8,"L",14.0841927630827,"R",TRUE,0.897000074386597
9,"L",8.59367227950133,"L",TRUE,0.587999820709229
10,"L",12.9685124126263,"R",TRUE,0.490000009536743
11,"L",8.01370607013814,"L",TRUE,0.690999984741211
12,"R",14.6572185312398,"R",FALSE,0.289000034332275
13,"R",8.84775760164484,"L",FALSE,0.491999864578247
14,"L",10.7503284001723,"L",FALSE,0.394000053405762
15,"L",10.5954649986234,"R",TRUE,0.691999912261963
16,"R",14.4077917193063,"L",TRUE,0.891000032424927
17,"R",14.6898745817598,"L",TRUE,0.900000095367432
18,"L",9.83456156309694,"R",TRUE,0.88700008392334
19,"L",10.8106185162906,"R",TRUE,0.894000053405762
20,"L",13.9809805871919,"L",FALSE,0.895999908447266
21,"L",13.8701582907233,"L",FALSE,0.293999910354614
22,"L",14.2252046042122,"R",TRUE,0.295000076293945
23,"R",9.79304367490113,"R",FALSE,0.492000102996826
